Galaxy,r_kpc,Vobs_kms,e_Vobs_kms,Vgas_kms,Vdisk_kms,Vbul_kms,SBdisk,SBbul,source_file,line_no,n_columns,D_Mpc,Inc_deg,L36_Lsun,MHI_Msun,Mbar_Msun,gas_fraction,Rdisk_kpc,SBdisk_Lsun_pc2,Vflat_kms,Q,Vbar2_kms2,Vbar_kms,Vobs2_kms2,C_kms2,g_obs_m_s2,g_bar_m_s2,D_DM,log_g_obs,log_g_bar,log_D_DM,valid_acceleration,g_rar_pred_m_s2,log_g_rar_pred,rar_residual_dex,baryon_only_residual_dex
D512-2,1.92,33.5,2.71,6.24,21.2,0.0,7.4,0.0,D512-2_rotmod.dat,5,8,15.2,56.0,325000000.0,81000000.0,270230000.0,0.39866040039965955,1.24,93.94,0.0,2,263.6576,16.237536759003813,1122.25,858.5924,1.894252373739031e-11,4.450292133253161e-12,4.256467479033413,-10.722562159851998,-11.351611479424557,0.6290493195725602,True,2.6673975072700866e-11,-10.573912259019592,-0.1486499008324067,0.6290493195725588
D512-2,2.88,37.2,4.19,7.45,20.56,0.0,2.72,0.0,D512-2_rotmod.dat,6,8,15.2,56.0,325000000.0,81000000.0,270230000.0,0.39866040039965955,1.24,93.94,0.0,2,266.85929999999996,16.33582872094342,1383.8400000000001,1116.9807,1.5571944485780173e-11,3.0028892105403496e-12,5.185654013182226,-10.807657153217574,-11.522460690491181,0.7148035372736069,True,2.156660162145444e-11,-10.666218283888027,-0.14143886932954786,0.7148035372736068
D512-2,3.83,35.9,5.98,8.09,20.08,0.0,1.79,0.0,D512-2_rotmod.dat,7,8,15.2,56.0,325000000.0,81000000.0,270230000.0,0.39866040039965955,1.24,93.94,0.0,2,267.05129999999997,16.3417043174817,1288.81,1021.7587,1.0905349232451155e-11,2.2596718596845798e-12,4.826076487925728,-10.962360422034124,-11.645954622744236,0.6835942007101143,True,1.8527650058013127e-11,-10.732179660635577,-0.2301807613985467,0.6835942007101128
D564-8,0.51,8.54,1.53,3.47,6.36,0.0,6.37,0.0,D564-8_rotmod.dat,4,8,8.79,63.0,33000000.0,29000000.0,55070000.0,0.7003813328491011,0.61,21.13,0.0,2,32.2657,5.680290485529768,72.93159999999999,40.665899999999986,4.634416055412562e-12,2.05031396704755e-12,2.260344576438757,-11.334004979942064,-11.688179629814647,0.35417464987258146,True,1.7595273608361224e-11,-10.754603975451262,-0.5794010044908013,0.35417464987258285
D564-8,1.02,15.1,1.41,5.33,8.66,0.0,2.82,0.0,D564-8_rotmod.dat,5,8,8.79,63.0,33000000.0,29000000.0,55070000.0,0.7003813328491011,0.61,21.13,0.0,2,65.9067,8.11829415579406,228.01,162.1033,7.244412605747154e-12,2.094010474466892e-12,3.459587568486967,-11.139996822397716,-11.67902115026377,0.5390243278660523,True,1.779321870181436e-11,-10.749745483169812,-0.39025133922790367,0.5390243278660538
D564-8,1.53,19.8,1.8,6.34,9.09,0.0,1.19,0.0,D564-8_rotmod.dat,6,8,8.79,63.0,33000000.0,29000000.0,55070000.0,0.7003813328491011,0.61,21.13,0.0,2,81.50965,9.028269490882513,392.04,310.53035,8.30402034401156e-12,1.7265018667311036e-12,4.809737251969552,-11.080711595516675,-11.7628329477457,0.6821213522290253,True,1.6065621521529716e-11,-10.794102468484732,-0.28660912703194263,0.682121352229025
D564-8,2.04,21.9,1.82,6.86,8.75,0.0,0.52,0.0,D564-8_rotmod.dat,7,8,8.79,63.0,33000000.0,29000000.0,55070000.0,0.7003813328491011,0.61,21.13,0.0,2,85.34085,9.238011149592753,479.60999999999996,394.26914999999997,7.619167426521628e-12,1.3557395059979322e-12,5.61993465028764,-11.1180924829678,-11.867823748504035,0.7497312655362353,True,1.414625695193561e-11,-10.8493584576777,-0.26873402529009915,0.7497312655362354
D564-8,2.56,24.0,1.89,7.05,8.17,0.0,0.22,0.0,D564-8_rotmod.dat,8,8,8.79,63.0,33000000.0,29000000.0,55070000.0,0.7003813328491011,0.61,21.13,0.0,2,83.07695,9.114655780664457,576.0,492.92305,7.291753401249822e-12,1.0516955429304883e-12,6.933331086420483,-11.137168027110775,-11.978109966610315,0.8409419394995399,True,1.2385998033698818e-11,-10.907068993271533,-0.23009903383924168,0.8409419394995403
D564-8,3.07,25.0,2.05,7.04,7.65,0.0,0.0,0.0,D564-8_rotmod.dat,9,8,8.79,63.0,33000000.0,29000000.0,55070000.0,0.7003813328491011,0.61,21.13,0.0,2,78.82285,8.878223358307675,625.0,546.17715,6.597677706523545e-12,8.320764163354394e-13,7.929172822347831,-11.18060890335525,-12.079836787088077,0.8992278837328278,True,1.0963970301135908e-11,-10.960032149534424,-0.22057675382082564,0.8992278837328271
D631-7,0.45,8.41,1.58,8.4,9.99,0.0,26.06,0.0,D631-7_rotmod.dat,4,8,7.72,59.0,196000000.0,290000000.0,483700000.0,0.7973950795947902,0.7,115.04,57.7,1,120.46005,10.975429376566549,70.7281,-49.73195,5.093648036927778e-12,8.675209672120726e-12,0.5871498476050775,-11.292971067401657,-11.06172001989794,-0.23125104750371803,True,3.8562489220347114e-11,-10.41383494002416,-0.8791361273774978,-0.23125104750371683
