Galaxy,r_kpc,Vobs_kms,e_Vobs_kms,Vgas_kms,Vdisk_kms,Vbul_kms,SBdisk,SBbul,source_file,line_no,n_columns,D_Mpc,Inc_deg,L36_Lsun,MHI_Msun,Mbar_Msun,gas_fraction,Rdisk_kpc,SBdisk_Lsun_pc2,Vflat_kms,Q,Vbar2_kms2,Vbar_kms,Vobs2_kms2,C_kms2,g_obs_m_s2,g_bar_m_s2,D_DM,log_g_obs,log_g_bar,log_D_DM,valid_acceleration,g_rar_pred_m_s2,log_g_rar_pred,rar_residual_dex,baryon_only_residual_dex,F_disk_kernel_lam_0p25,log_F_disk_kernel_lam_0p25,F_disk_kernel_lam_0p5,log_F_disk_kernel_lam_0p5,F_disk_kernel_lam_0p75,log_F_disk_kernel_lam_0p75,F_disk_kernel_lam_1p0,log_F_disk_kernel_lam_1p0,F_disk_kernel_lam_1p5,log_F_disk_kernel_lam_1p5
UGC09133,6.94,285.0,10.4,15.79,235.94,223.68,306.23,0.45,UGC09133_rotmod.dat,25,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,63106.08558,251.20924660529516,81225.0,18118.91442,3.7929725905636675e-10,2.946871688552848e-10,1.2871183381677278,-9.421020295659973,-9.530638773606004,0.10961847794603065,True,3.8094426062113833e-10,-9.419138565205147,-0.0018817304548264246,0.10961847794603052,288.8673954607102,2.4606985256773974,295.7703684601216,2.4709546623624816,296.4758099958875,2.4719892642639354,294.0756921942217,2.468459127933774,288.3194140195404,2.4598738866396364
UGC09133,7.57,286.0,6.82,17.23,242.45,214.14,257.47,0.12,UGC09133_rotmod.dat,26,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,61787.03186999999,248.56997379007785,81796.0,20008.96813000001,3.501754065513755e-10,2.6451536755684925e-10,1.3238376650313761,-9.455714358464125,-9.577549091676943,0.12183473321281736,True,3.5026819746592306e-10,-9.45559929257684,-0.00011506588728416034,0.12183473321281824,255.1893345694531,2.406862519444006,270.2405994492458,2.4317505955825096,275.5304023434345,2.440169526387496,276.38259091056136,2.4415106837470484,274.9645442267248,2.439276696596012
UGC09133,7.89,287.0,13.4,17.95,243.91,209.75,227.66,0.06,UGC09133_rotmod.dat,27,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,60864.79029999999,246.70790481863364,82369.0,21504.209700000007,3.383266784439074e-10,2.499991785305631e-10,1.3533111605906578,-9.470663754963574,-9.602061418368882,0.131397663405307,True,3.3538810616312374e-10,-9.474452342801232,0.0037885878376577864,0.13139766340530734,240.52903432423332,2.3811675076775214,258.6738330225898,2.4127524984936306,265.9187534511253,2.4247489662640405,268.209810512598,2.4284746593230464,268.7496918687626,2.429347974989623
UGC09133,8.2,287.0,10.5,18.77,244.06,205.73,209.07,0.03,UGC09133_rotmod.dat,28,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,59762.33773,244.46336684665047,82369.0,22606.66227,3.255362796246865e-10,2.3619091024898e-10,1.378276070326006,-9.48740060413787,-9.62673682012077,0.13933621598290066,True,3.2114822908353537e-10,-9.49329446848522,0.00589386434734962,0.13933621598290102,227.98434857165697,2.3579050331308014,248.4010898414579,2.3951534969437254,257.2733669430894,2.4103948301733427,260.8105437995647,2.4163251446573057,263.0844081493558,2.4200951101330213
UGC09133,8.31,288.0,2.93,18.97,244.14,204.35,204.24,0.02,UGC09133_rotmod.dat,29,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,59393.27644999999,243.70735821882766,82944.0,23550.72355000001,3.2346955160490185e-10,2.3162515072371082e-10,1.3965217101606797,-9.490166593487787,-9.635214285067738,0.1450476915799498,True,3.1641967298191374e-10,-9.499736522639973,0.009569929152185352,0.14504769157995057,223.96347309711263,2.350177193664953,245.00625949498317,2.3891771799947543,254.3813317408757,2.40548523661706,258.31928310909973,2.4121568267513083,261.164309169574,2.4169138257814384
UGC09133,8.52,288.0,5.58,19.59,244.43,201.86,197.13,0.02,UGC09133_rotmod.dat,30,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,58780.002270000005,242.4458749288179,82944.0,24163.997729999995,3.1549671054421766e-10,2.2358334975364879e-10,1.4110921537397214,-9.501005164470376,-9.65056054148041,0.1495553770100331,True,3.080649528213225e-10,-9.511357706623254,0.010352542152878286,0.1495553770100333,216.78303947156886,2.336025301150283,238.8779429164748,2.378176050495357,249.1165564207914,2.396402591941351,253.76093963151993,2.404424773755529,257.63196022172747,2.4109997379073342
UGC09133,8.83,288.0,5.74,20.3,245.34,198.26,187.41,0.01,UGC09133_rotmod.dat,31,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,58022.867119999995,240.8793621711914,82944.0,24921.132880000005,3.044203820879654e-10,2.129550465194546e-10,1.4295053677450886,-9.516526273281245,-9.671712063739642,0.15518579045839762,True,2.9696818232724734e-10,-9.527290079234747,0.010763805953502015,0.15518579045839687,206.79045877329833,2.315530496715425,230.37350141753177,2.3624325231453573,241.77708405084948,2.3834151354747393,247.38435011219804,2.3933722220720286,252.66961204626264,2.4025530135297393
UGC09133,9.15,288.0,7.0,21.12,245.9,194.78,171.33,0.0,UGC09133_rotmod.dat,32,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,57236.933280000005,239.24241530297257,82944.0,25707.066719999995,2.9377398621166494e-10,2.0272379012582836e-10,1.4491342433432344,-9.531986663770125,-9.693095282811138,0.1611086190410132,True,2.862214805360071e-10,-9.54329777613813,0.011311112368005638,0.1611086190410127,196.9526054769483,2.294361730444865,222.1239041567451,2.346595298236644,234.64785613629743,2.370416590628508,241.17737386605506,2.3823365619007904,247.82367133995336,2.394142786468345
UGC09133,9.78,289.0,12.7,22.56,245.25,188.37,138.98,0.0,UGC09133_rotmod.dat,33,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,55421.01468,235.41668309616463,83521.0,28099.98532,2.767618885824978e-10,1.8364752206026193e-10,1.5070276226851642,-9.557893714496643,-9.736014927176106,0.17812121267946204,True,2.6599231503177366e-10,-9.57513091069039,0.017237196193747195,0.17812121267946246,178.4311959934524,2.251470786494094,206.9981770986273,2.3159665209183036,221.61921453630708,2.3456074113151084,229.83495293027747,2.361416076181782,238.95437502511714,2.3783149864444773
UGC09133,10.1,289.0,3.89,23.18,244.0,185.3,127.27,0.0,UGC09133_rotmod.dat,34,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,54340.5754,233.11065055033416,83521.0,29180.4246,2.679931950828543e-10,1.7436218943842573e-10,1.5369914540875471,-9.571876233491684,-9.758547686253019,0.18667145276133315,True,2.560431270837779e-10,-9.591686877356047,0.019810643864362376,0.18667145276133468,169.97219875628429,2.2303778924717523,199.99485213597686,2.3010188170754216,215.54760881537223,2.333543209356229,224.52916251132015,2.3512727564538975,234.78635780446092,2.3706728587494794
