Galaxy,T,D_Mpc,e_D_Mpc,f_D,Inc_deg,e_Inc_deg,L36_1e9_Lsun,e_L36_1e9_Lsun,Reff_kpc,SBeff_Lsun_pc2,Rdisk_kpc,SBdisk_Lsun_pc2,MHI_1e9_Msun,RHI_kpc,Vflat_kms,e_Vflat_kms,Q,Ref,L36_Lsun,e_L36_Lsun,MHI_Msun,Mstar_Msun,Mgas_Msun,Mbar_Msun,gas_fraction,has_Vflat,valid_BTFR_basic
NGC7814,2,14.4,0.66,2,90.0,1.0,74.529,0.343,2.08,2709.13,2.54,2635.3,1.07,12.15,218.9,7.0,1,Fr11,74529000000.0,343000000.0,1070000000.0000001,37264500000.0,1423100000.0000002,38687600000.0,0.036784396033871326,True,True
PGC51017,11,13.6,1.4,2,66.0,3.0,0.155,0.014,1.28,15.03,0.53,93.94,0.201,4.29,18.6,1.3,3,Le14,155000000.0,14000000.0,201000000.0,77500000.0,267330000.0,344830000.0,0.7752515732389873,True,True
UGC00128,8,64.5,9.7,1,57.0,10.0,12.02,0.565,9.63,20.36,5.95,88.89,7.431,31.27,129.3,2.8,1,"VB99,VH93",12020000000.0,565000000.0,7431000000.0,6010000000.0,9883230000.0,15893230000.0,0.6218515682463539,True,True
UGC00191,9,17.1,5.1,1,45.0,5.0,2.004,0.063,2.5,50.21,1.58,207.41,1.343,10.03,0.0,0.0,1,"KN08,vZ97",2004000000.0,63000000.0,1343000000.0,1002000000.0,1786190000.0,2788190000.0,0.6406270734777759,False,False
UGC00634,9,30.9,7.7,1,37.0,8.0,2.989,0.146,4.26,26.11,2.45,126.13,3.663,16.78,0.0,0.0,2,vZ97,2989000000.0,146000000.0,3663000000.0,1494500000.0,4871790000.0,6366290000.0,0.7652478916291906,False,False
UGC00731,10,12.5,3.75,1,57.0,3.0,0.323,0.019,1.4,25.63,2.3,82.57,1.807,11.57,73.3,2.3,1,"Sw09,Sw02",323000000.0,19000000.0,1807000000.0,161500000.0,2403310000.0,2564810000.0,0.9370323727683532,True,True
UGC00891,9,10.2,3.1,1,60.0,5.0,0.374,0.017,1.76,19.09,1.43,113.98,0.428,6.23,0.0,0.0,2,vZ97,374000000.0,17000000.0,428000000.0,187000000.0,569240000.0,756240000.0,0.7527240029620227,False,False
UGC01230,9,53.7,10.7,1,22.0,10.0,7.62,0.379,6.45,28.63,4.34,69.32,6.43,26.29,103.7,6.1,1,"dB02,VdH93",7620000000.0,379000000.0,6430000000.0,3810000000.0,8551900000.0,12361900000.0,0.6917949506143878,True,True
UGC01281,8,5.27,0.24,2,90.0,1.0,0.353,0.009,2.01,13.83,1.63,135.78,0.294,5.26,55.2,3.5,1,"dB02,Sw02",353000000.0,9000000.0,294000000.0,176500000.0,391020000.0,567520000.0,0.6889977445728784,True,True
UGC02023,10,10.4,3.1,1,19.0,10.0,1.308,0.033,2.73,27.59,1.55,121.57,0.477,6.5,0.0,0.0,2,"Sw09,Sw02",1308000000.0,33000000.0,477000000.0,654000000.0,634410000.0,1288410000.0,0.4923976063520153,False,False
UGC02259,8,10.5,3.1,1,41.0,3.0,1.725,0.038,2.4,47.08,1.62,172.52,0.494,7.28,86.2,2.9,2,"Be91,Ca88",1725000000.0,38000000.0,494000000.0,862500000.0,657020000.0,1519520000.0,0.43238654311887964,True,True
UGC02455,10,6.92,2.08,1,51.0,5.0,3.649,0.034,1.49,254.0,0.99,795.85,0.803,7.11,0.0,0.0,3,"Sw09,Sw02",3649000000.0,34000000.0,803000000.0,1824500000.0,1067990000.0,2892490000.0,0.36922858851715995,False,False
UGC02487,0,69.1,10.4,1,36.0,5.0,489.955,4.061,9.63,818.14,7.89,1150.35,17.963,40.2,332.0,3.5,1,"No07,No05",489955000000.0,4061000000.0,17963000000.0,244977500000.0,23890790000.0,268868290000.0,0.08885685255036956,True,True
UGC02885,5,80.6,8.06,1,64.0,4.0,403.525,4.088,12.2,421.53,11.4,470.79,40.075,74.24,289.5,12.0,1,"Sa96,RA85",403525000000.0,4088000000.0,40075000000.0,201762500000.0,53299750000.0,255062250000.0,0.2089676147685516,True,True
UGC02916,2,65.4,9.8,1,50.0,5.0,124.153,1.83,2.8,2425.66,6.15,520.99,23.273,34.24,182.7,6.9,2,"No07,No05",124153000000.0,1830000000.0,23273000000.0,62076500000.0,30953090000.0,93029590000.0,0.3327230615549311,True,True
UGC02953,2,16.5,4.95,1,50.0,4.0,259.518,0.717,5.03,1544.65,3.55,4215.31,7.678,24.0,264.9,6.0,2,"No07,No05",259517999999.99997,717000000.0,7678000000.0,129758999999.99998,10211740000.0,139970740000.0,0.07295624785580186,True,True
UGC03205,2,50.0,10.0,1,67.0,4.0,113.642,1.361,5.35,587.26,3.19,3915.89,9.677,28.6,219.6,8.6,1,"No07,No05",113642000000.0,1361000000.0,9677000000.0,56821000000.0,12870410000.0,69691410000.0,0.1846771359626674,True,True
UGC03546,1,28.7,7.2,1,55.0,5.0,101.336,0.747,2.58,2403.42,3.79,922.21,2.675,18.37,196.9,7.4,1,"No07,No05",101336000000.0,747000000.0,2675000000.0,50668000000.0,3557750000.0,54225750000.0,0.0656099731216258,True,True
UGC03580,1,20.7,5.2,1,63.0,4.0,13.266,0.195,1.84,614.94,2.43,302.57,4.37,19.97,126.2,3.2,2,"No07,No05",13266000000.0,195000000.0,4370000000.0,6633000000.0,5812100000.0,12445100000.0,0.4670191480984484,True,True
UGC04278,7,9.51,2.85,1,90.0,3.0,1.307,0.026,2.46,34.11,2.21,377.42,1.116,8.9,91.4,4.8,1,"dB02,Sw02",1307000000.0,26000000.0,1116000000.0,653500000.0,1484280000.0,2137780000.0,0.6943090495747926,True,True
UGC04305,10,3.45,0.17,2,40.0,10.0,0.736,0.007,1.23,76.71,1.16,88.07,0.69,7.41,34.5,2.7,3,"Sw09,Sw02",736000000.0,7000000.0,690000000.0,368000000.0,917700000.0,1285700000.0,0.7137745974955277,True,True
UGC04325,9,9.6,2.88,1,41.0,3.0,2.026,0.035,2.79,41.0,1.86,213.22,0.678,6.61,90.9,2.7,1,"Sw09,Sw02",2025999999.9999998,35000000.0,678000000.0,1012999999.9999999,901740000.0,1914740000.0,0.4709464470371956,True,True
UGC04483,10,3.34,0.31,2,58.0,3.0,0.013,0.001,0.26,29.71,0.18,82.57,0.032,1.46,0.0,0.0,2,"Le14,Le12",13000000.0,1000000.0,32000000.0,6500000.0,42560000.0,49060000.0,0.8675091724419078,False,False
UGC04499,8,12.5,3.75,1,50.0,3.0,1.552,0.043,2.69,33.79,1.73,127.3,1.1,8.67,72.8,2.4,1,"Sw09,Sw02",1552000000.0,43000000.0,1100000000.0,776000000.0,1463000000.0,2239000000.0,0.6534167038856632,True,True
UGC05005,10,53.7,10.7,1,41.0,10.0,4.1,0.283,5.02,25.63,3.2,65.59,3.093,21.61,98.9,7.2,1,"dB02,VH93",4099999999.9999995,283000000.0,3093000000.0,2049999999.9999998,4113690000.0,6163690000.0,0.6674070240391713,True,True
UGC05253,2,22.9,5.72,1,37.0,4.0,171.582,0.79,4.28,1488.78,8.07,189.16,16.396,36.64,213.7,7.1,2,"No07,No05",171582000000.0,790000000.0,16396000000.0,85791000000.0,21806680000.0,107597680000.0,0.202668682075673,True,True
UGC05414,10,9.4,2.82,1,55.0,3.0,1.123,0.028,2.33,32.87,1.47,127.3,0.574,6.65,0.0,0.0,1,"Sw09,Sw02",1123000000.0,28000000.0,574000000.0,561500000.0,763420000.0,1324920000.0,0.5762008272197566,False,False
UGC05716,9,21.3,5.3,1,54.0,10.0,0.588,0.042,1.84,27.59,1.14,90.54,1.094,10.64,73.1,1.2,2,vZ97,588000000.0,42000000.0,1094000000.0,294000000.0,1455020000.0,1749020000.0,0.83190586728568,True,True
UGC05721,7,6.18,1.85,1,61.0,5.0,0.531,0.011,0.6,233.79,0.38,913.76,0.562,6.74,79.7,6.6,1,"dB02,Sw02",531000000.0,11000000.0,562000000.0,265500000.0,747460000.0,1012960000.0,0.7378968567366925,True,True
UGC05750,8,58.7,11.7,1,64.0,10.0,3.336,0.264,8.8,6.87,3.46,124.98,1.099,16.79,0.0,0.0,1,"dB01,VdH93",3336000000.0,264000000.0,1099000000.0,1668000000.0,1461670000.0,3129670000.0,0.46703646071311034,False,False
UGC05764,10,7.47,2.24,1,60.0,10.0,0.085,0.006,1.2,9.31,1.17,33.79,0.163,3.51,0.0,0.0,2,vZ97,85000000.0,6000000.0,163000000.0,42500000.0,216790000.0,259290000.0,0.8360908635118979,False,False
UGC05829,10,8.64,2.59,1,34.0,10.0,0.564,0.019,2.91,10.59,1.99,63.22,1.023,7.87,0.0,0.0,2,"Sw09,Sw02",564000000.0,19000000.0,1022999999.9999999,282000000.0,1360590000.0,1642590000.0,0.8283199094113565,False,False
UGC05918,10,7.66,2.3,1,46.0,5.0,0.233,0.011,2.63,5.36,1.66,24.94,0.297,5.9,0.0,0.0,2,"Sw09,Sw02",233000000.0,11000000.0,297000000.0,116500000.0,395010000.0,511510000.0,0.7722429669019178,False,False
UGC05986,9,8.63,2.59,1,90.0,3.0,4.695,0.048,3.12,76.71,1.67,1725.16,2.667,16.53,113.0,4.1,2,"Sw09,Sw02",4695000000.0,48000000.0,2667000000.0,2347500000.0,3547110000.0,5894610000.0,0.6017548234743265,True,True
UGC05999,10,47.7,9.5,1,22.0,10.0,3.384,0.231,4.83,22.95,3.22,51.62,2.022,15.26,0.0,0.0,2,"dB97,VH93",3384000000.0,231000000.0,2021999999.9999998,1692000000.0,2689260000.0,4381260000.0,0.6138097259692418,False,False
UGC06399,9,18.0,2.5,4,75.0,2.0,2.296,0.072,3.45,30.82,2.05,311.05,0.674,8.8,85.0,3.8,1,"VS01,SV98",2296000000.0,72000000.0,674000000.0,1148000000.0,896420000.0,2044420000.0,0.4384715469424091,True,True
UGC06446,7,12.0,3.6,1,51.0,3.0,0.988,0.032,2.06,37.05,1.49,86.46,1.379,10.33,82.2,4.3,1,"VS01,SV98",988000000.0,32000000.0,1379000000.0,494000000.0,1834070000.0,2328070000.0,0.7878070676569003,True,True
UGC06614,1,88.7,8.87,1,36.0,10.0,124.35,2.52,3.68,1461.61,5.1,540.54,21.888,60.63,199.8,16.0,1,"dB01,VH93",124350000000.0,2520000000.0,21888000000.0,62175000000.0,29111040000.0,91286040000.0,0.3188991438340408,True,True
UGC06628,9,15.1,4.53,1,20.0,10.0,3.739,0.076,4.14,34.74,2.82,103.0,1.5,10.47,41.8,6.4,2,"Sw09,Sw02",3739000000.0,76000000.0,1500000000.0,1869500000.0,1995000000.0,3864500000.0,0.5162375469012809,True,True
UGC06667,6,18.0,2.5,4,89.0,1.0,1.397,0.066,3.5,18.06,5.15,614.94,0.809,8.59,83.8,3.1,1,"VS01,SV98",1397000000.0,66000000.0,809000000.0,698500000.0,1075970000.0,1774470000.0,0.6063613360609084,True,True
UGC06786,0,29.3,7.32,1,64.0,3.0,73.407,0.676,3.42,992.73,3.6,1078.52,5.03,20.31,219.4,7.8,1,"No07,No05",73407000000.0,676000000.0,5030000000.0,36703500000.0,6689900000.0,43393400000.0,0.15416860628574852,True,True
UGC06787,2,21.3,5.32,1,66.0,3.0,98.256,0.543,2.88,1891.6,5.37,429.37,5.03,26.44,248.1,4.8,2,"No07,No05",98256000000.0,543000000.0,5030000000.0,49128000000.0,6689900000.0,55817900000.0,0.11985223378163636,True,True
UGC06818,9,18.0,2.5,4,75.0,3.0,1.588,0.057,2.12,56.08,1.39,286.31,1.079,6.96,71.2,4.0,2,"VS01,SV98",1588000000.0,57000000.0,1079000000.0,794000000.0,1435070000.0,2229070000.0,0.6437976375797978,True,True
UGC06917,9,18.0,2.5,4,56.0,2.0,6.832,0.12,4.52,53.07,2.76,261.11,2.023,12.67,108.7,3.5,1,"VS01,SV98",6832000000.0,120000000.0,2023000000.0000002,3416000000.0,2690590000.0000005,6106590000.0,0.4406043307312265,True,True
UGC06923,10,18.0,2.5,4,65.0,2.0,2.89,0.077,1.66,166.28,1.44,347.4,0.809,6.75,79.6,2.5,2,"VS01,SV98",2890000000.0,77000000.0,809000000.0,1445000000.0,1075970000.0,2520970000.0,0.4268079350408771,True,True
UGC06930,7,18.0,2.5,4,32.0,5.0,8.932,0.14,4.38,73.93,3.94,189.16,3.237,16.76,107.2,5.1,1,"VS01,SV98",8932000000.0,140000000.0,3237000000.0,4466000000.0,4305210000.0,8771210000.0,0.49083421785591724,True,True
UGC06973,2,18.0,2.5,4,71.0,3.0,53.87,0.347,1.61,3317.65,1.07,12730.05,1.753,11.57,174.2,6.2,3,"VS01,SV98",53870000000.0,347000000.0,1753000000.0,26935000000.0,2331490000.0,29266490000.0,0.07966414831433492,True,True
UGC06983,6,18.0,2.5,4,49.0,1.0,5.298,0.102,3.95,53.56,3.21,121.57,2.967,16.07,109.0,5.8,1,"VS01,SV98",5298000000.0,102000000.0,2967000000.0,2649000000.0,3946110000.0,6595110000.0,0.5983387691789827,True,True
UGC07089,8,18.0,2.5,4,80.0,3.0,3.585,0.089,3.9,37.4,2.26,520.99,1.214,9.29,0.0,0.0,2,"VS01,SV98",3585000000.0,89000000.0,1214000000.0,1792500000.0,1614620000.0,3407120000.0,0.47389584164925214,False,False
UGC07125,9,19.8,5.9,1,90.0,3.0,2.712,0.08,3.92,28.11,3.38,103.0,4.629,23.04,65.2,2.1,1,"Sw09,Sw02",2712000000.0,80000000.0,4629000000.0,1356000000.0,6156570000.0,7512570000.0,0.8195025137868932,True,True
UGC07151,6,6.87,0.34,2,90.0,3.0,2.284,0.025,2.17,76.71,1.25,965.67,0.616,6.39,73.5,2.8,1,"Sw09,Sw02",2284000000.0,25000000.0,616000000.0,1142000000.0,819280000.0,1961280000.0,0.417727198564203,True,True
UGC07232,10,2.83,0.17,2,59.0,5.0,0.113,0.002,0.46,83.34,0.29,227.42,0.046,1.54,0.0,0.0,2,"Sw09,Sw02",113000000.0,2000000.0,46000000.0,56500000.0,61180000.0,117680000.0,0.5198844323589396,False,False
UGC07261,8,13.1,3.93,1,30.0,10.0,1.753,0.048,2.66,39.16,1.2,566.02,1.388,10.1,74.7,3.4,2,"Sw09,Sw02",1753000000.0,48000000.0,1388000000.0,876500000.0,1846040000.0,2722540000.0,0.678057989965253,True,True
UGC07323,8,8.0,2.4,1,47.0,3.0,4.109,0.042,3.26,61.49,2.26,283.68,0.722,7.14,0.0,0.0,1,"Sw09,Sw02",4109000000.0,42000000.0,722000000.0,2054500000.0,960260000.0,3014760000.0,0.3185195504783134,False,False
UGC07399,8,8.43,2.53,1,55.0,3.0,1.156,0.024,1.27,113.98,1.64,135.78,0.745,7.85,103.0,3.3,1,"Sw09,Sw02",1156000000.0,24000000.0,745000000.0,578000000.0,990850000.0,1568850000.0,0.6315772699748223,True,True
UGC07524,9,4.74,0.24,2,46.0,3.0,2.436,0.025,3.61,29.71,3.46,106.86,1.779,12.11,79.5,3.6,1,"Sw09,Sw02",2436000000.0,25000000.0,1779000000.0,1218000000.0,2366070000.0,3584070000.0,0.6601628874436046,True,True
UGC07559,10,4.97,0.25,2,61.0,3.0,0.109,0.004,0.98,17.9,0.58,55.06,0.169,3.76,0.0,0.0,2,"Sw09,Sw02",109000000.0,4000000.0,169000000.0,54500000.0,224770000.0,279270000.0,0.8048483546388799,False,False
UGC07577,10,2.59,0.13,2,63.0,3.0,0.045,0.002,0.77,11.94,0.9,54.55,0.044,2.07,0.0,0.0,2,"Sw09,Sw02",45000000.0,2000000.0,44000000.0,22500000.0,58520000.0,81020000.0,0.722290792396939,False,False
UGC07603,7,4.7,1.41,1,78.0,3.0,0.376,0.008,0.85,81.81,0.53,520.99,0.258,4.37,61.6,2.8,1,"Sw09,Sw02",376000000.0,8000000.0,258000000.0,188000000.0,343140000.0,531140000.0,0.6460443574198893,True,True
UGC07608,10,8.21,2.46,1,25.0,10.0,0.264,0.012,1.6,16.48,1.5,46.65,0.535,6.73,0.0,0.0,1,"Sw09,Sw02",264000000.0,12000000.0,535000000.00000006,132000000.0,711550000.0000001,843550000.0000001,0.8435184636358248,False,False
UGC07690,10,8.11,2.43,1,41.0,5.0,0.858,0.018,0.86,184.01,0.57,395.21,0.39,5.5,57.4,3.2,2,"Sw09,Sw02",858000000.0,18000000.0,390000000.0,429000000.0,518700000.0,947700000.0,0.5473251028806584,True,True
UGC07866,10,4.57,0.23,2,44.0,5.0,0.124,0.004,0.95,21.92,0.61,97.46,0.118,3.3,0.0,0.0,2,"Sw09,Sw02",124000000.0,4000000.0,118000000.0,62000000.0,156940000.0,218940000.0,0.71681739289303,False,False
UGC08286,6,6.5,0.21,2,90.0,3.0,1.255,0.018,2.25,39.52,1.05,1488.78,0.642,8.07,82.4,2.3,1,"Sw09,Sw02",1255000000.0,18000000.0,642000000.0,627500000.0,853860000.0,1481360000.0,0.5764027650267322,True,True
UGC08490,9,4.65,0.53,2,50.0,3.0,1.017,0.012,1.14,124.98,0.67,576.54,0.72,7.8,78.6,3.8,1,"Sw09,Sw02",1016999999.9999999,12000000.0,720000000.0,508499999.99999994,957600000.0,1466100000.0,0.6531614487415592,True,True
UGC08550,7,6.7,2.0,1,90.0,3.0,0.289,0.009,1.01,45.38,0.45,1284.78,0.288,5.59,56.9,1.9,1,"Sw09,Sw02",289000000.0,9000000.0,288000000.0,144500000.0,383040000.0,527540000.0,0.7260871213557266,True,True
UGC08699,2,39.3,9.82,1,73.0,9.0,50.302,0.695,1.91,2191.95,3.09,1370.35,3.738,19.05,182.4,6.9,2,"No07,No05",50302000000.0,695000000.0,3738000000.0,25151000000.0,4971540000.0,30122540000.0,0.1650438508837568,True,True
UGC08837,10,7.21,0.36,2,80.0,5.0,0.501,0.015,2.25,15.73,1.72,77.42,0.32,4.75,0.0,0.0,2,"Sw09,Sw02",501000000.0,15000000.0,320000000.0,250500000.0,425600000.0,676100000.0,0.6294926785978405,False,False
UGC09037,6,83.6,8.4,1,65.0,5.0,68.614,1.769,5.69,334.83,4.28,841.07,19.078,39.72,152.3,9.6,2,Ha14,68614000000.00001,1769000000.0,19078000000.0,34307000000.000004,25373740000.0,59680740000.0,0.4251579320229608,True,True
UGC09133,2,57.1,11.4,1,53.0,6.0,282.926,2.345,5.92,1284.78,6.97,864.63,33.428,60.35,226.8,4.2,1,"No07,No05",282926000000.0,2345000000.0,33427999999.999996,141463000000.0,44459240000.0,185922240000.0,0.23912814303442126,True,True
UGC09992,10,10.7,3.21,1,30.0,10.0,0.336,0.017,1.62,20.18,1.04,73.25,0.318,5.45,33.6,3.3,2,"Sw09,Sw02",336000000.0,17000000.0,318000000.0,168000000.0,422940000.0,590940000.0,0.7157071783937455,True,True
UGC10310,9,15.2,4.6,1,34.0,6.0,1.741,0.053,3.12,28.37,1.8,158.79,1.196,9.58,71.4,3.9,1,"Sw09,Sw02",1741000000.0,53000000.0,1196000000.0,870500000.0,1590680000.0,2461180000.0,0.6463078685833624,True,True
UGC11455,6,78.6,11.8,1,90.0,1.0,374.322,3.792,10.06,571.26,5.93,9568.2,13.335,43.44,269.4,7.4,1,SG06,374322000000.0,3792000000.0,13335000000.0,187161000000.0,17735550000.0,204896550000.0,0.08655855845303398,True,True
UGC11557,8,24.2,6.05,1,30.0,10.0,12.101,0.212,4.18,106.86,2.75,337.93,2.605,16.66,0.0,0.0,2,"Sw02,dB01",12101000000.0,212000000.0,2605000000.0,6050500000.0,3464650000.0,9515150000.0,0.3641193254967079,False,False
UGC11820,9,18.1,5.43,1,45.0,10.0,0.97,0.047,2.74,20.18,2.08,34.11,1.977,12.99,0.0,0.0,1,"KN08,vZ97",970000000.0,47000000.0,1977000000.0,485000000.0,2629410000.0,3114410000.0,0.8442722698681291,False,False
UGC11914,2,16.9,5.1,1,31.0,5.0,150.028,0.553,3.12,2425.66,2.44,3168.33,0.888,9.26,288.1,10.5,1,"No07,No05",150028000000.0,553000000.0,888000000.0,75014000000.0,1181040000.0,76195040000.0,0.01550022153672995,True,True
UGC12506,6,100.6,10.1,1,86.0,4.0,139.571,3.214,12.36,144.82,7.38,5608.28,35.556,59.01,234.0,16.8,2,Ha14,139571000000.0,3214000000.0,35556000000.0,69785500000.0,47289480000.0,117074980000.0,0.4039247326798604,True,True
UGC12632,9,9.77,2.93,1,46.0,3.0,1.301,0.03,3.94,13.09,2.42,66.81,1.744,12.6,71.7,2.8,1,"Sw09,Sw02",1301000000.0,30000000.0,1744000000.0,650500000.0,2319520000.0,2970020000.0,0.7809779058726877,True,True
UGC12732,9,13.2,4.0,1,39.0,6.0,1.667,0.048,3.12,26.84,1.98,120.46,3.66,17.41,0.0,0.0,1,"Sw09,Sw02",1667000000.0,48000000.0,3660000000.0,833500000.0,4867800000.0,5701300000.0,0.8538052724817147,False,False
UGCA281,11,5.68,0.28,2,67.0,3.0,0.194,0.007,1.57,12.5,1.72,12.05,0.062,1.83,0.0,0.0,3,Le14,194000000.0,7000000.0,62000000.0,97000000.0,82460000.0,179460000.0,0.4594895798506631,False,False
UGCA442,9,4.35,0.22,2,64.0,7.0,0.14,0.005,1.71,7.6,1.18,116.1,0.263,4.37,56.4,2.1,1,Co00,140000000.0,5000000.0,263000000.0,70000000.0,349790000.0,419790000.0,0.8332499583124896,True,True
UGCA444,10,0.98,0.05,2,78.0,4.0,0.012,0.0,0.41,11.94,0.83,22.74,0.067,2.08,37.0,4.8,2,Ke07,12000000.0,0.0,67000000.00000001,6000000.0,89110000.00000001,95110000.00000001,0.9369151508779309,True,True
