Galaxy,T,D_Mpc,e_D_Mpc,f_D,Inc_deg,e_Inc_deg,L36_1e9_Lsun,e_L36_1e9_Lsun,Reff_kpc,SBeff_Lsun_pc2,Rdisk_kpc,SBdisk_Lsun_pc2,MHI_1e9_Msun,RHI_kpc,Vflat_kms,e_Vflat_kms,Q,Ref,L36_Lsun,e_L36_Lsun,MHI_Msun,Mstar_Msun,Mgas_Msun,Mbar_Msun,gas_fraction,has_Vflat,valid_BTFR_basic
F568-3,7,82.4,8.24,1,40.0,10.0,8.346,0.592,7.47,23.81,4.99,132.08,3.195,16.14,0.0,0.0,1,"KN08,dB96",8346000000.0,592000000.0,3195000000.0,4173000000.0,4249350000.0,8422350000.0,0.5045325829489394,False,False
F568-V1,7,80.6,8.06,1,40.0,10.0,3.825,0.384,4.4,31.39,2.85,90.54,2.491,14.38,112.3,15.8,1,"dB01,dB96",3825000000.0,384000000.0,2491000000.0,1912500000.0,3313030000.0,5225530000.0,0.6340084163711623,True,True
F571-8,5,53.3,10.7,1,85.0,5.0,10.164,0.412,1.4,825.71,3.56,87.26,1.782,24.55,139.7,4.3,1,"dB01,dB96",10164000000.0,412000000.0,1782000000.0,5082000000.0,2370060000.0,7452060000.0,0.3180409175449473,True,True
F571-V1,7,80.1,8.0,1,30.0,10.0,1.849,0.267,4.38,15.3,2.47,64.39,1.217,10.1,83.6,3.5,2,"dB97,dB96",1849000000.0,267000000.00000003,1217000000.0,924500000.0,1618610000.0,2543110000.0,0.6364687331652976,True,True
F574-1,7,96.8,9.68,1,65.0,10.0,6.537,0.596,5.87,29.98,4.46,128.48,3.524,16.19,97.8,4.1,1,"dB01,dB96",6537000000.0,596000000.0,3524000000.0,3268500000.0,4686920000.0,7955420000.0,0.5891480273825895,True,True
F574-2,9,89.1,8.91,1,30.0,10.0,2.877,0.384,6.48,10.89,3.76,41.38,1.701,12.61,0.0,0.0,3,"dB97,dB96",2877000000.0,384000000.0,1701000000.0,1438500000.0,2262330000.0,3700830000.0,0.6113034103160643,False,False
F579-V1,5,89.5,8.95,1,26.0,10.0,11.848,0.742,5.76,56.6,3.37,201.76,2.245,20.96,112.1,13.4,1,"dB01,dB96",11848000000.0,742000000.0,2245000000.0,5924000000.0,2985850000.0,8909850000.0,0.33511787516063685,True,True
F583-1,9,35.4,8.85,1,63.0,5.0,0.986,0.093,3.74,11.19,2.36,60.93,2.126,15.65,85.8,3.6,1,"KN08,dB96",986000000.0,93000000.0,2126000000.0,493000000.0,2827580000.0,3320580000.0,0.8515319612838721,True,True
F583-4,5,53.3,10.7,1,55.0,10.0,1.715,0.185,3.31,24.94,1.93,83.34,0.641,7.8,0.0,0.0,1,"KN08,dB96",1715000000.0,185000000.0,641000000.0,857500000.0,852530000.0,1710030000.0,0.49854680912030785,False,False
IC2574,9,3.91,0.2,2,75.0,7.0,1.016,0.012,3.18,15.88,2.78,80.32,1.036,10.81,66.4,2.0,2,"Sa96,MC94",1016000000.0,12000000.0,1036000000.0,508000000.0,1377880000.0,1885880000.0,0.7306297325386557,True,True
