selection_mode,sample,kernel_variant,n_self_weight_values,self_weight_median,self_weight_q25,self_weight_q75,self_weight_q90,n_self_source_values,self_source_median,self_source_q25,self_source_q75
frozen_reference,Q1,abs_leave_one_out,0,,,,,0,,,
frozen_reference,Q1,abs_self_dlnr,1859,0.2168477692516864,0.13159500848364686,0.3683585246890123,0.6221328644010264,1859,0.2135122017672018,0.1292721452581857,0.3652340294985752
frozen_reference,Q1,current_abs_self_uniform,1859,0.2144018323878636,0.1375045268817127,0.35765563045207727,0.5639917931619942,1859,0.2127214667133769,0.1360224059226604,0.345319182785502
frozen_reference,Q1,signed_self_uniform,1859,0.2144018323878636,0.1375045268817127,0.35765563045207727,0.5639917931619942,1859,0.2119337526406123,0.1358987114659345,0.3457343236124838
frozen_reference,Q12,abs_leave_one_out,0,,,,,0,,,
frozen_reference,Q12,abs_self_dlnr,2805,0.1519134135572928,0.0866257994772198,0.2778545410076526,0.5660584762827098,2805,0.1492767747470452,0.0839871658717769,0.2811620734797975
frozen_reference,Q12,current_abs_self_uniform,2805,0.1528402031131185,0.092728747320748,0.2699718901711667,0.46395079878232,2805,0.1475207154886748,0.088308477324898,0.2576736775085987
frozen_reference,Q12,signed_self_uniform,2805,0.1528402031131185,0.092728747320748,0.2699718901711667,0.46395079878232,2805,0.1471128606394814,0.0878092752982662,0.257090028210473
frozen_reference,Q123,abs_leave_one_out,0,,,,,0,,,
frozen_reference,Q123,abs_self_dlnr,2896,0.13877614436732383,0.07303832150092832,0.2746980048221595,0.48974412381241417,2896,0.13821260111335684,0.06943752295482172,0.2651007334463764
frozen_reference,Q123,current_abs_self_uniform,2896,0.14174418929760704,0.08068184940253698,0.2562806283572182,0.44897830413190165,2896,0.1327793173892304,0.0765800177391116,0.24196449049153337
frozen_reference,Q123,signed_self_uniform,2896,0.14174418929760704,0.08068184940253698,0.2562806283572182,0.44897830413190165,2896,0.13213472329599305,0.07651047068546729,0.24101445095566149
fully_reselected,Q1,abs_leave_one_out,0,,,,,0,,,
fully_reselected,Q1,abs_self_dlnr,1859,0.2168477692516864,0.13159500848364686,0.3683585246890123,0.6221328644010264,1859,0.2135122017672018,0.1292721452581857,0.3652340294985752
fully_reselected,Q1,current_abs_self_uniform,1859,0.2144018323878636,0.1375045268817127,0.35765563045207727,0.5639917931619942,1859,0.2127214667133769,0.1360224059226604,0.345319182785502
fully_reselected,Q1,signed_self_uniform,1859,0.2144018323878636,0.1375045268817127,0.35765563045207727,0.5639917931619942,1859,0.2119337526406123,0.1358987114659345,0.3457343236124838
fully_reselected,Q12,abs_leave_one_out,0,,,,,0,,,
fully_reselected,Q12,abs_self_dlnr,2805,0.1135993196031478,0.0647463119886398,0.2091551304264297,0.3945811016947467,2805,0.1092716382214349,0.0625841739207539,0.2060137775562906
fully_reselected,Q12,current_abs_self_uniform,2805,0.1528402031131185,0.092728747320748,0.2699718901711667,0.46395079878232,2805,0.1475207154886748,0.088308477324898,0.2576736775085987
fully_reselected,Q12,signed_self_uniform,2805,0.1528402031131185,0.092728747320748,0.2699718901711667,0.46395079878232,2805,0.1471128606394814,0.0878092752982662,0.257090028210473
fully_reselected,Q123,abs_leave_one_out,0,,,,,0,,,
fully_reselected,Q123,abs_self_dlnr,2896,0.126750803471499,0.06687931141937907,0.24385185363716488,0.45971578132705126,2896,0.12484805957224725,0.06590134166815531,0.23883539777388973
fully_reselected,Q123,current_abs_self_uniform,2896,0.14174418929760704,0.08068184940253698,0.2562806283572182,0.44897830413190165,2896,0.1327793173892304,0.0765800177391116,0.24196449049153337
fully_reselected,Q123,signed_self_uniform,2896,0.14174418929760704,0.08068184940253698,0.2562806283572182,0.44897830413190165,2896,0.13213472329599305,0.07651047068546729,0.24101445095566149
