selection_mode,sample,kernel_variant,gobs_rmse,foldfit_rar_rmse,variant_minus_current_rmse,variant_minus_rar_rmse
frozen_reference,Q1,signed_self_uniform,0.14528949670983696,0.14673163643575998,-0.00015123697808278047,-0.001442139725923025
frozen_reference,Q1,current_abs_self_uniform,0.14544073368791974,0.14673163643575998,0.0,-0.0012909027478402446
frozen_reference,Q1,abs_self_dlnr,0.14567851886909627,0.14673163643575998,0.00023778518117653635,-0.0010531175666637083
frozen_reference,Q1,abs_leave_one_out,0.14783512916971434,0.14673163643575998,0.002394395481794598,0.0011034927339543532
frozen_reference,Q12,abs_self_dlnr,0.1616972870323376,0.1641441838063276,-0.00017760262335275723,-0.002446896773989987
frozen_reference,Q12,signed_self_uniform,0.1618625181988682,0.1641441838063276,-1.2371456822146687e-05,-0.0022816656074593766
frozen_reference,Q12,current_abs_self_uniform,0.16187488965569036,0.1641441838063276,0.0,-0.00226929415063723
frozen_reference,Q12,abs_leave_one_out,0.16369499624224304,0.1641441838063276,0.0018201065865526833,-0.00044918756408454663
frozen_reference,Q123,abs_self_dlnr,0.17246723157447816,0.17670825764991308,-0.0006082062755765061,-0.004241026075434917
frozen_reference,Q123,signed_self_uniform,0.17291795424892067,0.17670825764991308,-0.00015748360113398974,-0.003790303400992401
frozen_reference,Q123,current_abs_self_uniform,0.17307543785005466,0.17670825764991308,0.0,-0.003632819799858411
frozen_reference,Q123,abs_leave_one_out,0.17463902414574903,0.17670825764991308,0.0015635862956943636,-0.0020692335041640475
fully_reselected,Q1,signed_self_uniform,0.14528949670983696,0.14673163643575998,-0.00015123697808278047,-0.001442139725923025
fully_reselected,Q1,current_abs_self_uniform,0.14544073368791974,0.14673163643575998,0.0,-0.0012909027478402446
fully_reselected,Q1,abs_self_dlnr,0.14567851886909627,0.14673163643575998,0.00023778518117653635,-0.0010531175666637083
fully_reselected,Q1,abs_leave_one_out,0.14783512916971434,0.14673163643575998,0.002394395481794598,0.0011034927339543532
fully_reselected,Q12,signed_self_uniform,0.1618625181988682,0.1641441838063276,-1.2371456822146687e-05,-0.0022816656074593766
fully_reselected,Q12,current_abs_self_uniform,0.16187488965569036,0.1641441838063276,0.0,-0.00226929415063723
fully_reselected,Q12,abs_self_dlnr,0.16243505639947,0.1641441838063276,0.0005601667437796498,-0.0017091274068575801
fully_reselected,Q12,abs_leave_one_out,0.16332353045091427,0.1641441838063276,0.0014486407952239155,-0.0008206533554133144
fully_reselected,Q123,abs_self_dlnr,0.17262753030909442,0.17670825764991308,-0.0004479075409602462,-0.004080727340818657
fully_reselected,Q123,signed_self_uniform,0.17291795424892067,0.17670825764991308,-0.00015748360113398974,-0.003790303400992401
fully_reselected,Q123,current_abs_self_uniform,0.17307543785005466,0.17670825764991308,0.0,-0.003632819799858411
fully_reselected,Q123,abs_leave_one_out,0.1734582653642894,0.17670825764991308,0.0003828275142347404,-0.0032499922856236707
