sample,kernel_variant,outer_fold,selected_kernel_feature,selected_global_features,selected_ridge_alpha,n_train_rows,n_test_rows,reconstructed_test_rmse
Q12,signed_self_uniform,1,log_F__signed_self_uniform__lam_0p5,"log_Mbar_Msun,log_Rdisk_kpc",16.768329368110066,2243,562,0.30592560069347463
Q12,signed_self_uniform,2,log_F__signed_self_uniform__lam_0p25,"log_Mbar_Msun,log_Rdisk_kpc",16.768329368110066,2243,562,0.2481341957542413
Q12,signed_self_uniform,3,log_F__signed_self_uniform__lam_0p5,"log_Mbar_Msun,log_Rdisk_kpc,gas_fraction,log_SBdisk_Lsun_pc2",11.513953993264458,2244,561,0.3337420854881052
Q12,signed_self_uniform,4,log_F__signed_self_uniform__lam_0p5,"log_Mbar_Msun,log_Rdisk_kpc,gas_fraction,log_SBdisk_Lsun_pc2",11.513953993264458,2244,561,0.3771868556685664
Q123,current_abs_self_uniform,0,log_F__current_abs_self_uniform__lam_0p25,"log_Mbar_Msun,log_Rdisk_kpc",51.79474679231202,2316,580,0.4036595001904603
Q123,current_abs_self_uniform,1,log_F__current_abs_self_uniform__lam_0p75,"log_Mbar_Msun,log_Rdisk_kpc",51.79474679231202,2316,580,0.3643546807574195
Q123,current_abs_self_uniform,2,log_F__current_abs_self_uniform__lam_0p25,"log_Mbar_Msun,log_Rdisk_kpc,gas_fraction,log_SBdisk_Lsun_pc2",24.420530945486497,2317,579,0.2814729154067836
Q123,current_abs_self_uniform,3,log_F__current_abs_self_uniform__lam_0p75,"log_Mbar_Msun,log_Rdisk_kpc",24.420530945486497,2317,579,0.36342875130900654
Q123,current_abs_self_uniform,4,log_F__current_abs_self_uniform__lam_0p5,"log_Mbar_Msun,log_Rdisk_kpc,gas_fraction,log_SBdisk_Lsun_pc2",5.428675439323859,2318,578,0.36943344255072486
Q123,abs_leave_one_out,0,log_F__abs_leave_one_out__lam_0p25,"log_Mbar_Msun,log_Rdisk_kpc",51.79474679231202,2316,580,0.401849265177978
Q123,abs_leave_one_out,1,log_F__abs_leave_one_out__lam_0p75,"log_Mbar_Msun,log_Rdisk_kpc",51.79474679231202,2316,580,0.36611148940565524
Q123,abs_leave_one_out,2,log_F__abs_leave_one_out__lam_0p25,"log_Mbar_Msun,log_Rdisk_kpc,gas_fraction,log_SBdisk_Lsun_pc2",24.420530945486497,2317,579,0.2816580357838436
Q123,abs_leave_one_out,3,log_F__abs_leave_one_out__lam_0p75,"log_Mbar_Msun,log_Rdisk_kpc",35.564803062231285,2317,579,0.3683218787528673
Q123,abs_leave_one_out,4,log_F__abs_leave_one_out__lam_0p5,"log_Mbar_Msun,log_Rdisk_kpc,gas_fraction,log_SBdisk_Lsun_pc2",5.428675439323859,2318,578,0.37032609103449105
Q123,abs_self_dlnr,0,log_F__abs_self_dlnr__lam_0p25,"log_Mbar_Msun,log_Rdisk_kpc",51.79474679231202,2316,580,0.40362133431919384
Q123,abs_self_dlnr,1,log_F__abs_self_dlnr__lam_0p75,"log_Mbar_Msun,log_Rdisk_kpc",51.79474679231202,2316,580,0.3628098497839092
Q123,abs_self_dlnr,2,log_F__abs_self_dlnr__lam_0p25,"log_Mbar_Msun,log_Rdisk_kpc,gas_fraction,log_SBdisk_Lsun_pc2",24.420530945486497,2317,579,0.28227700683827534
Q123,abs_self_dlnr,3,log_F__abs_self_dlnr__lam_0p75,"log_Mbar_Msun,log_Rdisk_kpc",24.420530945486497,2317,579,0.3629395458100276
Q123,abs_self_dlnr,4,log_F__abs_self_dlnr__lam_0p5,"log_Mbar_Msun,log_Rdisk_kpc,gas_fraction,log_SBdisk_Lsun_pc2",5.428675439323859,2318,578,0.37006516697632946
Q123,signed_self_uniform,0,log_F__signed_self_uniform__lam_0p25,"log_Mbar_Msun,log_Rdisk_kpc",51.79474679231202,2316,580,0.4032904852289183
Q123,signed_self_uniform,1,log_F__signed_self_uniform__lam_0p75,"log_Mbar_Msun,log_Rdisk_kpc",51.79474679231202,2316,580,0.36418139898312823
Q123,signed_self_uniform,2,log_F__signed_self_uniform__lam_0p25,"log_Mbar_Msun,log_Rdisk_kpc,gas_fraction,log_SBdisk_Lsun_pc2",24.420530945486497,2317,579,0.2814973334179666
Q123,signed_self_uniform,3,log_F__signed_self_uniform__lam_0p75,"log_Mbar_Msun,log_Rdisk_kpc",24.420530945486497,2317,579,0.3633158229258839
Q123,signed_self_uniform,4,log_F__signed_self_uniform__lam_0p5,"log_Mbar_Msun,log_Rdisk_kpc,gas_fraction,log_SBdisk_Lsun_pc2",5.428675439323859,2318,578,0.36948154847076503
