selection_mode,sample,kernel_variant,n_rows,n_galaxies,field_rmse,field_r2,gobs_rmse,gobs_r2,foldfit_rar_rmse,variant_minus_rar_rmse,current_kernel_gobs_rmse,variant_minus_current_rmse
frozen_reference,Q1,abs_leave_one_out,1859,99,0.3161808374982874,0.3837671874295252,0.14783512916971434,0.9041344034665773,0.14673163643575998,0.0011034927339543532,0.14544073368791974,0.002394395481794598
frozen_reference,Q1,abs_self_dlnr,1859,99,0.31411748145381485,0.39178385826675277,0.14567851886909627,0.9069109660335049,0.14673163643575998,-0.0010531175666637083,0.14544073368791974,0.00023778518117653635
frozen_reference,Q1,current_abs_self_uniform,1859,99,0.3132842836752982,0.395006170114342,0.14544073368791974,0.9072146089835699,0.14673163643575998,-0.0012909027478402446,0.14544073368791974,0.0
frozen_reference,Q1,signed_self_uniform,1859,99,0.31322750680286976,0.39522543770403684,0.14528949670983696,0.9074074749830852,0.14673163643575998,-0.001442139725923025,0.14544073368791974,-0.00015123697808278047
frozen_reference,Q12,abs_leave_one_out,2805,163,0.33681371103680907,0.4219369456564883,0.16369499624224304,0.9031689435313627,0.1641441838063276,-0.00044918756408454663,0.16187488965569036,0.0018201065865526833
frozen_reference,Q12,abs_self_dlnr,2805,163,0.33531294381598803,0.4270769104292018,0.1616972870323376,0.9055179455112186,0.1641441838063276,-0.002446896773989987,0.16187488965569036,-0.00017760262335275723
frozen_reference,Q12,current_abs_self_uniform,2805,163,0.33510312716007334,0.42779368083492075,0.16187488965569036,0.905310279984236,0.1641441838063276,-0.00226929415063723,0.16187488965569036,0.0
frozen_reference,Q12,signed_self_uniform,2805,163,0.33505548863581563,0.4279563598720395,0.1618625181988682,0.9053247529518536,0.1641441838063276,-0.0022816656074593766,0.16187488965569036,-1.2371456822146687e-05
frozen_reference,Q123,abs_leave_one_out,2896,175,0.35991774915734664,0.4078458329858913,0.17463902414574903,0.8930032690637418,0.17670825764991308,-0.0020692335041640475,0.17307543785005466,0.0015635862956943636
frozen_reference,Q123,abs_self_dlnr,2896,175,0.3585930596433194,0.41219669856314,0.17246723157447816,0.8956479220879559,0.17670825764991308,-0.004241026075434917,0.17307543785005466,-0.0006082062755765061
frozen_reference,Q123,current_abs_self_uniform,2896,175,0.3587580082380418,0.4116558089638951,0.17307543785005466,0.8949106284303935,0.17670825764991308,-0.003632819799858411,0.17307543785005466,0.0
frozen_reference,Q123,signed_self_uniform,2896,175,0.35863048133913566,0.41207400938383765,0.17291795424892067,0.8951017858056702,0.17670825764991308,-0.003790303400992401,0.17307543785005466,-0.00015748360113398974
fully_reselected,Q1,abs_leave_one_out,1859,99,0.3161808374982874,0.3837671874295252,0.14783512916971434,0.9041344034665773,0.14673163643575998,0.0011034927339543532,0.14544073368791974,0.002394395481794598
fully_reselected,Q1,abs_self_dlnr,1859,99,0.31411748145381485,0.39178385826675277,0.14567851886909627,0.9069109660335049,0.14673163643575998,-0.0010531175666637083,0.14544073368791974,0.00023778518117653635
fully_reselected,Q1,current_abs_self_uniform,1859,99,0.3132842836752982,0.395006170114342,0.14544073368791974,0.9072146089835699,0.14673163643575998,-0.0012909027478402446,0.14544073368791974,0.0
fully_reselected,Q1,signed_self_uniform,1859,99,0.31322750680286976,0.39522543770403684,0.14528949670983696,0.9074074749830852,0.14673163643575998,-0.001442139725923025,0.14544073368791974,-0.00015123697808278047
fully_reselected,Q12,abs_leave_one_out,2805,163,0.33651702398408695,0.42295488692488836,0.16332353045091427,0.903607913737307,0.1641441838063276,-0.0008206533554133144,0.16187488965569036,0.0014486407952239155
fully_reselected,Q12,abs_self_dlnr,2805,163,0.3369348974656507,0.42152089371085566,0.16243505639947,0.9046538000569933,0.1641441838063276,-0.0017091274068575801,0.16187488965569036,0.0005601667437796498
fully_reselected,Q12,current_abs_self_uniform,2805,163,0.33510312716007334,0.42779368083492075,0.16187488965569036,0.905310279984236,0.1641441838063276,-0.00226929415063723,0.16187488965569036,0.0
fully_reselected,Q12,signed_self_uniform,2805,163,0.33505548863581563,0.4279563598720395,0.1618625181988682,0.9053247529518536,0.1641441838063276,-0.0022816656074593766,0.16187488965569036,-1.2371456822146687e-05
fully_reselected,Q123,abs_leave_one_out,2896,175,0.35898288642750564,0.4109180010842005,0.1734582653642894,0.8944452175412917,0.17670825764991308,-0.0032499922856236707,0.17307543785005466,0.0003828275142347404
fully_reselected,Q123,abs_self_dlnr,2896,175,0.3588940689810751,0.4112094594707236,0.17262753030909442,0.8954538529939481,0.17670825764991308,-0.004080727340818657,0.17307543785005466,-0.0004479075409602462
fully_reselected,Q123,current_abs_self_uniform,2896,175,0.3587580082380418,0.4116558089638951,0.17307543785005466,0.8949106284303935,0.17670825764991308,-0.003632819799858411,0.17307543785005466,0.0
fully_reselected,Q123,signed_self_uniform,2896,175,0.35863048133913566,0.41207400938383765,0.17291795424892067,0.8951017858056702,0.17670825764991308,-0.003790303400992401,0.17307543785005466,-0.00015748360113398974
