selection_mode,sample,expected_gobs_rmse,reproduced_gobs_rmse,difference
frozen_reference,Q1,0.145441,0.14544073368791974,-2.66312080249298e-07
frozen_reference,Q12,0.161875,0.16187488965569036,-1.1034430963396957e-07
frozen_reference,Q123,0.173075,0.17307543785005466,4.3785005465757365e-07
fully_reselected,Q1,0.145441,0.14544073368791974,-2.66312080249298e-07
fully_reselected,Q12,0.161875,0.16187488965569036,-1.1034430963396957e-07
fully_reselected,Q123,0.173075,0.17307543785005466,4.3785005465757365e-07
