selection_mode,sample,kernel_variant,outer_fold,n_train_rows,n_test_rows,n_train_galaxies,n_test_galaxies,selected_lambda,selected_kernel_feature,selected_global_model,selected_global_features,selected_ridge_alpha,kernel_stage_inner_rmse,global_stage_inner_rmse,coef_kernel_standardized,coef_radius_standardized,coef_local_disk_standardized,intercept_standardized,elapsed_seconds
frozen_reference,Q1,signed_self_uniform,1,1492,367,80,19,0.25,log_F__signed_self_uniform__lam_0p25,plus_Mbar_Rdisk,"log_Mbar_Msun,log_Rdisk_kpc",75.43120063354607,,0.31680545619070344,0.19738238276506567,-0.022860090456485314,0.1098396643058693,-10.416822613166026,0.02536153793334961
frozen_reference,Q1,signed_self_uniform,2,1485,374,79,20,0.25,log_F__signed_self_uniform__lam_0p25,plus_Mgas_Rdisk,"log_Mgas_Msun,log_Rdisk_kpc",0.8286427728546842,,0.29952517775487014,0.2939171857030354,-0.06456085844231371,0.08672860309737457,-10.355068295013403,0.03421211242675781
frozen_reference,Q1,signed_self_uniform,3,1486,373,79,20,0.25,log_F__signed_self_uniform__lam_0p25,plus_Mgas_Rdisk,"log_Mgas_Msun,log_Rdisk_kpc",11.513953993264458,,0.30966118052023417,0.2748682861856173,-0.060088398930366646,0.0914961275332256,-10.377569458903071,0.08308839797973633
frozen_reference,Q1,signed_self_uniform,4,1487,372,79,20,0.25,log_F__signed_self_uniform__lam_0p25,plus_Mgas_Rdisk,"log_Mgas_Msun,log_Rdisk_kpc",2.559547922699533,,0.31151575145235333,0.2957040585268143,-0.06799522651321228,0.07022079569039136,-10.397485011363694,0.07033133506774902
frozen_reference,Q12,current_abs_self_uniform,0,2246,559,132,31,0.25,log_F__current_abs_self_uniform__lam_0p25,plus_Mbar_Rdisk,"log_Mbar_Msun,log_Rdisk_kpc",24.420530945486497,,0.3164471892370173,0.257907423484021,-0.07631712077669348,0.05483567935194757,-10.423888070447514,0.03286123275756836
frozen_reference,Q12,current_abs_self_uniform,1,2243,562,130,33,0.5,log_F__current_abs_self_uniform__lam_0p5,plus_Mbar_Rdisk,"log_Mbar_Msun,log_Rdisk_kpc",16.768329368110066,,0.34449591997122414,0.26718525640343704,-0.08248831150334991,0.053922490573705,-10.402277450214756,0.06287980079650879
frozen_reference,Q12,current_abs_self_uniform,2,2243,562,130,33,0.25,log_F__current_abs_self_uniform__lam_0p25,plus_Mbar_Rdisk,"log_Mbar_Msun,log_Rdisk_kpc",24.420530945486497,,0.3567191560826207,0.2675860820974398,-0.11687232297989665,0.022228754452188165,-10.41975258752981,0.03194069862365723
frozen_reference,Q12,current_abs_self_uniform,3,2244,561,130,33,0.5,log_F__current_abs_self_uniform__lam_0p5,plus_global_full,"log_Mbar_Msun,log_Rdisk_kpc,gas_fraction,log_SBdisk_Lsun_pc2",11.513953993264458,,0.33251017247945913,0.2572498804123608,-0.08752244613510213,0.03902229174181329,-10.42128324878094,0.0899648666381836
frozen_reference,Q12,current_abs_self_uniform,4,2244,561,130,33,0.5,log_F__current_abs_self_uniform__lam_0p5,plus_global_full,"log_Mbar_Msun,log_Rdisk_kpc,gas_fraction,log_SBdisk_Lsun_pc2",11.513953993264458,,0.32201477757844693,0.3241410903265983,-0.11112742927623846,0.031323663333191566,-10.427556068872804,0.03668570518493652
frozen_reference,Q12,abs_leave_one_out,0,2246,559,132,31,0.25,log_F__abs_leave_one_out__lam_0p25,plus_Mbar_Rdisk,"log_Mbar_Msun,log_Rdisk_kpc",35.564803062231285,,0.3182564911183229,0.24895001584797571,-0.04418082555608066,0.0742769039343333,-10.423888070447514,0.029053449630737305
