sample,reference_rar_rmse,reconstructed_rar_rmse,difference
Q1,0.14673163643575998,0.14673163643575998,0.0
Q12,0.1641441838063276,0.16414418380632764,5.551115123125783e-17
Q123,0.17670825764991308,0.1767082576499131,2.7755575615628914e-17
